Mapping-template-london-ward-map-2018,Ward name,Borough name,shape,Values,,,Ensure Macros are enabled then paste your data into column E,,,,,,"To use different colours to the default ones, find the RGB values of the colours you want, and enter them into the cell grid starting in U22.",,,,,,,,,UpdateAllcells,,MapNameToShape,,,,,,,,,,,,1.0,Equal Ranges (4),38.7,755.0,,,,,,,,,,,MapNameToShape,
E05000087,Brondesbury Park,Brent,Freeform_13752,270.3,,,,,,,,,,,,,,,,,,,Crystal Palace,Freeform_13626,Freeform 13626,,,,,,,,,,,,,,,,,,,,,E05000116,Crystal Palace,Bromley,Crystal Palace,Freeform_13626,Freeform 61
E05000088,Dollis Hill,Brent,Freeform_13757,483.4,,,,,,,,,,,,,,,,,,,Penge and Cator,Freeform_13627,Freeform 13627,,,,,,,,,,,,,,,,,,,,,E05000123,Penge and Cator,Bromley,Penge and Cator,Freeform_13627,Freeform 62
E05000089,Dudden Hill,Brent,Freeform_13756,205.9,,,,,,,,,,,,,,,,,,,Copers Cope,Freeform_13628,Freeform 13628,,,,,,,,,,,,,,,,,,,,,E05000113,Copers Cope,Bromley,Copers Cope,Freeform_13628,Freeform 63
E05000090,Fryent,Brent,Freeform_13745,297.9,,,,,,,,,,,,,,,,,,,Plaistow and Sundridge,Freeform_13629,Freeform 13629,,,,,,,,,,,,,,,,,,,,,E05000125,Plaistow and Sundridge,Bromley,Plaistow and Sundridge,Freeform_13629,Freeform 64
E05000091,Harlesden,Brent,Freeform_13749,172.9,,,,,,,,,,,,,,,,,,,Chislehurst,Freeform_13630,Freeform 13630,,,,,,,,,,,,,,,,,,,,,E05000111,Chislehurst,Bromley,Chislehurst,Freeform_13630,Freeform 65
E05000092,Kensal Green,Brent,Freeform_13748,230.0,,,,,,,,,,,,,,,,,,,Mottingham and Chislehurst North,Freeform_13631,Freeform 13631,,,,,,,,,,,,,,,,,,,,,E05000121,Mottingham and Chislehurst North,Bromley,Mottingham and Chislehurst North,Freeform_13631,Freeform 66
E05000093,Kenton,Brent,Freeform_13755,168.1,,,,,,,,,,,,,,,,,,,Orpington,Freeform_13632,Freeform 13632,,,,,,,,,,,,,,,,,,,,,E05000122,Orpington,Bromley,Orpington,Freeform_13632,Freeform 67
E05000094,Kilburn,Brent,Freeform_13753,265.9,,,,,,,,,,,,,,,,,,,Cray Valley West,Freeform_13633,Freeform 13633,,,,,,,,,,,,,,,,,,,,,E05000115,Cray Valley West,Bromley,Cray Valley West,Freeform_13633,Freeform 68
E05000095,Mapesbury,Brent,Freeform_13758,111.4,,,,,,,,,,,,,,,,,,,Cray Valley East,Freeform_13634,Freeform 13634,,,,,,,,,,,,,,,,,,,,,E05000114,Cray Valley East,Bromley,Cray Valley East,Freeform_13634,Freeform 69
E05000096,Northwick Park,Brent,Freeform_13739,112.0,,,,,,,,,,,,,,,,,,,Bedfont,Freeform_13635,Freeform 13635,,,,,,,,,,,,,,,,,,,,,E05000346,Bedfont,Hounslow,Bedfont,Freeform_13635,Freeform 70
E05000097,Preston,Brent,Freeform_13741,224.3,,,,,,,,,,,,,,,,,,,Hanworth,Freeform_13636,Freeform 13636,,,,,,,,,,,,,,,,,,,,,E05000353,Hanworth,Hounslow,Hanworth,Freeform_13636,Freeform 71
E05000098,Queens Park,Brent,Freeform_13751,94.4,,,,,,,,,,,,,,,,,,,Cranford,Freeform_13637,Freeform 13637,,,,,,,,,,,,,,,,,,,,,E05000350,Cranford,Hounslow,Cranford,Freeform_13637,Freeform 72
E05000099,Queensbury,Brent,Freeform_13759,139.3,,,,,,,,,,,,,,,,,,,Syon,Freeform_13638,Freeform 13638,,,,,,,,,,,,,,,,,,,,,E05000364,Syon,Hounslow,Syon,Freeform_13638,Freeform 73
E05000100,Stonebridge,Brent,Freeform_13742,268.0,,,,,,,,,,,,,,,,,,,Heston West,Freeform_13639,Freeform 13639,,,,,,,,,,,,,,,,,,,,,E05000357,Heston West,Hounslow,Heston West,Freeform_13639,Freeform 74
E05000101,Sudbury,Brent,Freeform_13746,238.8,,,,,,,,,,,,,,,,,,,Heston East,Freeform_13640,Freeform 13640,,,,,,,,,,,,,,,,,,,,,E05000356,Heston East,Hounslow,Heston East,Freeform_13640,Freeform 75
E05000102,Tokyngton,Brent,Freeform_13754,148.6,,,,,,,,,,,,,,,,,,,Osterley and Spring Grove,Freeform_13641,Freeform 13641,,,,,,,,,,,,,,,,,,,,,E05000363,Osterley and Spring Grove,Hounslow,Osterley and Spring Grove,Freeform_13641,Freeform 76
E05000103,Welsh Harp,Brent,Freeform_13743,205.1,,,,,,,,,,,,,,,,,,,Brentford,Freeform_13642,Freeform 13642,,,,,,,,,,,,,,,,,,,,,E05000347,Brentford,Hounslow,Brentford,Freeform_13642,Freeform 77
E05000104,Wembley Central,Brent,Freeform_13740,405.1,,,,,,,,,,,,,,,,,,,Chiswick Homefields,Freeform_13643,Freeform 13643,,,,,,,,,,,,,,,,,,,,,E05000348,Chiswick Homefields,Hounslow,Chiswick Homefields,Freeform_13643,Freeform 78
