Date,Vehicle type,Number of bookings,Number of spaces
22/07/2023,Recycling centre A (pedestrian / bicycle),4,15
23/07/2023,Recycling centre A (cars / small vans),223,320
23/07/2023,Recycling centre A (medium / large vans),9,17
23/07/2023,Recycling centre A (pedestrian / bicycle),4,15
24/07/2023,Recycling centre A (cars / small vans),246,320
24/07/2023,Recycling centre A (medium / large vans),8,17
24/07/2023,Recycling centre A (pedestrian / bicycle),0,15
27/07/2023,Recycling centre A (cars / small vans),233,320
27/07/2023,Recycling centre A (medium / large vans),22,17
27/07/2023,Recycling centre A (pedestrian / bicycle),2,15
28/07/2023,Recycling centre A (cars / small vans),264,320
28/07/2023,Recycling centre A (medium / large vans),22,17
28/07/2023,Recycling centre A (pedestrian / bicycle),2,15
29/07/2023,Recycling centre A (cars / small vans),220,320
29/07/2023,Recycling centre A (medium / large vans),26,17
29/07/2023,Recycling centre A (pedestrian / bicycle),2,15
30/07/2023,Recycling centre A (cars / small vans),323,320
30/07/2023,Recycling centre A (medium / large vans),26,17
30/07/2023,Recycling centre A (pedestrian / bicycle),2,15
31/07/2023,Recycling centre A (cars / small vans),242,320
31/07/2023,Recycling centre A (medium / large vans),24,17
31/07/2023,Recycling centre A (pedestrian / bicycle),2,15
03/08/2023,Recycling centre A (cars / small vans),209,320
03/08/2023,Recycling centre A (medium / large vans),24,17
03/08/2023,Recycling centre A (pedestrian / bicycle),3,15
04/08/2023,Recycling centre A (cars / small vans),240,320
04/08/2023,Recycling centre A (medium / large vans),22,17
04/08/2023,Recycling centre A (pedestrian / bicycle),2,15
05/08/2023,Recycling centre A (cars / small vans),292,320
05/08/2023,Recycling centre A (medium / large vans),23,17
05/08/2023,Recycling centre A (pedestrian / bicycle),0,15
06/08/2023,Recycling centre A (cars / small vans),228,320
06/08/2023,Recycling centre A (medium / large vans),26,17
06/08/2023,Recycling centre A (pedestrian / bicycle),2,15
07/08/2023,Recycling centre A (cars / small vans),233,320
07/08/2023,Recycling centre A (medium / large vans),26,17
07/08/2023,Recycling centre A (pedestrian / bicycle),0,15
10/08/2023,Recycling centre A (cars / small vans),244,320
10/08/2023,Recycling centre A (medium / large vans),24,17
10/08/2023,Recycling centre A (pedestrian / bicycle),0,15
11/08/2023,Recycling centre A (cars / small vans),209,320
11/08/2023,Recycling centre A (medium / large vans),8,17
