Date,Group,Total booked,Total spaces
12/08/2023,Recycling centre A (car / small van),258,400
12/08/2023,Recycling centre A (medium / large van),14,15
12/08/2023,Recycling centre A (pedestrian / bicycle),0,48
13/08/2023,Recycling centre A (car / small van),322,400
13/08/2023,Recycling centre A (medium / large van),14,15
13/08/2023,Recycling centre A (pedestrian / bicycle),1,48
14/08/2023,Recycling centre A (car / small van),165,400
14/08/2023,Recycling centre A (medium / large van),14,15
14/08/2023,Recycling centre A (pedestrian / bicycle),2,48
17/08/2023,Recycling centre A (car / small van),278,400
17/08/2023,Recycling centre A (medium / large van),15,15
17/08/2023,Recycling centre A (pedestrian / bicycle),0,48
18/08/2023,Recycling centre A (car / small van),195,400
18/08/2023,Recycling centre A (medium / large van),10,15
18/08/2023,Recycling centre A (pedestrian / bicycle),1,48
19/08/2023,Recycling centre A (car / small van),212,400
19/08/2023,Recycling centre A (medium / large van),15,15
19/08/2023,Recycling centre A (pedestrian / bicycle),2,48
20/08/2023,Recycling centre A (car / small van),261,400
20/08/2023,Recycling centre A (medium / large van),15,15
20/08/2023,Recycling centre A (pedestrian / bicycle),2,48
21/08/2023,Recycling centre A (car / small van),191,400
21/08/2023,Recycling centre A (medium / large van),15,15
21/08/2023,Recycling centre A (pedestrian / bicycle),0,48
24/08/2023,Recycling centre A (car / small van),274,400
24/08/2023,Recycling centre A (medium / large van),15,15
24/08/2023,Recycling centre A (pedestrian / bicycle),0,48
25/08/2023,Recycling centre A (car / small van),188,400
25/08/2023,Recycling centre A (medium / large van),15,15
25/08/2023,Recycling centre A (pedestrian / bicycle),1,48
26/08/2023,Recycling centre A (car / small van),237,400
26/08/2023,Recycling centre A (medium / large van),15,15
26/08/2023,Recycling centre A (pedestrian / bicycle),2,48
27/08/2023,Recycling centre A (car / small van),213,400
27/08/2023,Recycling centre A (medium / large van),15,15
27/08/2023,Recycling centre A (pedestrian / bicycle),1,48
28/08/2023,Recycling centre A (car / small van),211,400
28/08/2023,Recycling centre A (medium / large van),15,15
28/08/2023,Recycling centre A (pedestrian / bicycle),1,48
31/08/2023,Recycling centre A (car / small van),289,400
31/08/2023,Recycling centre A (medium / large van),15,15
31/08/2023,Recycling centre A (pedestrian / bicycle),1,48
01/09/2023,Recycling centre A (car / small van),146,400
01/09/2023,Recycling centre A (medium / large van),15,15
01/09/2023,Recycling centre A (pedestrian / bicycle),1,48
02/09/2023,Recycling centre A (car / small van),238,400
02/09/2023,Recycling centre A (medium / large van),15,15
02/09/2023,Recycling centre A (pedestrian / bicycle),2,48
03/09/2023,Recycling centre A (car / small van),328,400
03/09/2023,Recycling centre A (medium / large van),15,15
03/09/2023,Recycling centre A (pedestrian / bicycle),2,48
04/09/2023,Recycling centre A (car / small van),167,400
04/09/2023,Recycling centre A (medium / large van),13,15
04/09/2023,Recycling centre A (pedestrian / bicycle),1,48
07/09/2023,Recycling centre A (car / small van),219,400
07/09/2023,Recycling centre A (medium / large van),13,15
07/09/2023,Recycling centre A (pedestrian / bicycle),0,48
08/09/2023,Recycling centre A (car / small van),160,400
08/09/2023,Recycling centre A (medium / large van),13,15
08/09/2023,Recycling centre A (pedestrian / bicycle),0,48
09/09/2023,Recycling centre A (car / small van),288,400
09/09/2023,Recycling centre A (medium / large van),15,15
09/09/2023,Recycling centre A (pedestrian / bicycle),3,48
10/09/2023,Recycling centre A (car / small van),283,400
10/09/2023,Recycling centre A (medium / large van),15,15
10/09/2023,Recycling centre A (pedestrian / bicycle),2,48
11/09/2023,Recycling centre A (car / small van),162,400
11/09/2023,Recycling centre A (medium / large van),14,15
11/09/2023,Recycling centre A (pedestrian / bicycle),1,48
14/09/2023,Recycling centre A (car / small van),217,400
14/09/2023,Recycling centre A (medium / large van),15,15
14/09/2023,Recycling centre A (pedestrian / bicycle),4,48
15/09/2023,Recycling centre A (car / small van),168,400
15/09/2023,Recycling centre A (medium / large van),14,15
15/09/2023,Recycling centre A (pedestrian / bicycle),1,48
16/09/2023,Recycling centre A (car / small van),250,400
16/09/2023,Recycling centre A (medium / large van),14,15
16/09/2023,Recycling centre A (pedestrian / bicycle),1,48
17/09/2023,Recycling centre A (car / small van),335,400
17/09/2023,Recycling centre A (medium / large van),15,15
17/09/2023,Recycling centre A (pedestrian / bicycle),1,48
18/09/2023,Recycling centre A (car / small van),126,400
18/09/2023,Recycling centre A (medium / large van),14,15
18/09/2023,Recycling centre A (pedestrian / bicycle),2,48
21/09/2023,Recycling centre A (car / small van),161,400
21/09/2023,Recycling centre A (medium / large van),15,15
21/09/2023,Recycling centre A (pedestrian / bicycle),1,48
22/09/2023,Recycling centre A (car / small van),129,400
22/09/2023,Recycling centre A (medium / large van),15,15
22/09/2023,Recycling centre A (pedestrian / bicycle),0,48
23/09/2023,Recycling centre A (car / small van),206,400
23/09/2023,Recycling centre A (medium / large van),13,15
23/09/2023,Recycling centre A (pedestrian / bicycle),3,48
24/09/2023,Recycling centre A (car / small van),287,400
24/09/2023,Recycling centre A (medium / large van),15,15
24/09/2023,Recycling centre A (pedestrian / bicycle),1,48
25/09/2023,Recycling centre A (car / small van),143,400
25/09/2023,Recycling centre A (medium / large van),14,15
25/09/2023,Recycling centre A (pedestrian / bicycle),0,48
28/09/2023,Recycling centre A (car / small van),209,400
28/09/2023,Recycling centre A (medium / large van),14,15
28/09/2023,Recycling centre A (pedestrian / bicycle),0,48
29/09/2023,Recycling centre A (car / small van),132,400
29/09/2023,Recycling centre A (medium / large van),12,15
29/09/2023,Recycling centre A (pedestrian / bicycle),1,48
30/09/2023,Recycling centre A (car / small van),246,400
30/09/2023,Recycling centre A (medium / large van),9,15
30/09/2023,Recycling centre A (pedestrian / bicycle),1,48
01/10/2023,Recycling centre A (car / small van),253,400
01/10/2023,Recycling centre A (medium / large van),15,15
01/10/2023,Recycling centre A (pedestrian / bicycle),1,48
02/10/2023,Recycling centre A (car / small van),119,400
02/10/2023,Recycling centre A (medium / large van),15,15
02/10/2023,Recycling centre A (pedestrian / bicycle),1,48
05/10/2023,Recycling centre A (car / small van),184,400
05/10/2023,Recycling centre A (medium / large van),15,15
05/10/2023,Recycling centre A (pedestrian / bicycle),0,48
06/10/2023,Recycling centre A (car / small van),116,400
06/10/2023,Recycling centre A (medium / large van),8,15
06/10/2023,Recycling centre A (pedestrian / bicycle),0,48
07/10/2023,Recycling centre A (car / small van),214,400
07/10/2023,Recycling centre A (medium / large van),15,15
07/10/2023,Recycling centre A (pedestrian / bicycle),1,48
08/10/2023,Recycling centre A (car / small van),298,400
08/10/2023,Recycling centre A (medium / large van),15,15
08/10/2023,Recycling centre A (pedestrian / bicycle),3,48
09/10/2023,Recycling centre A (car / small van),125,400
09/10/2023,Recycling centre A (medium / large van),15,15
09/10/2023,Recycling centre A (pedestrian / bicycle),1,48
12/10/2023,Recycling centre A (car / small van),220,400
12/10/2023,Recycling centre A (medium / large van),15,15
12/10/2023,Recycling centre A (pedestrian / bicycle),0,48
13/10/2023,Recycling centre A (car / small van),85,400
13/10/2023,Recycling centre A (medium / large van),14,15
13/10/2023,Recycling centre A (pedestrian / bicycle),1,48
14/10/2023,Recycling centre A (car / small van),172,400
14/10/2023,Recycling centre A (medium / large van),15,15
14/10/2023,Recycling centre A (pedestrian / bicycle),0,48
15/10/2023,Recycling centre A (car / small van),237,400
15/10/2023,Recycling centre A (medium / large van),15,15
15/10/2023,Recycling centre A (pedestrian / bicycle),0,48
16/10/2023,Recycling centre A (car / small van),139,400
16/10/2023,Recycling centre A (medium / large van),13,15
16/10/2023,Recycling centre A (pedestrian / bicycle),0,48
19/10/2023,Recycling centre A (car / small van),152,400
19/10/2023,Recycling centre A (medium / large van),13,15
19/10/2023,Recycling centre A (pedestrian / bicycle),0,48
20/10/2023,Recycling centre A (car / small van),120,400
20/10/2023,Recycling centre A (medium / large van),11,15
20/10/2023,Recycling centre A (pedestrian / bicycle),1,48
21/10/2023,Recycling centre A (car / small van),140,400
21/10/2023,Recycling centre A (medium / large van),13,15
21/10/2023,Recycling centre A (pedestrian / bicycle),2,48
22/10/2023,Recycling centre A (car / small van),197,400
22/10/2023,Recycling centre A (medium / large van),11,15
22/10/2023,Recycling centre A (pedestrian / bicycle),0,48
23/10/2023,Recycling centre A (car / small van),142,400
23/10/2023,Recycling centre A (medium / large van),15,15
23/10/2023,Recycling centre A (pedestrian / bicycle),1,48
26/10/2023,Recycling centre A (car / small van),165,400
26/10/2023,Recycling centre A (medium / large van),14,15
26/10/2023,Recycling centre A (pedestrian / bicycle),1,48
27/10/2023,Recycling centre A (car / small van),107,400
27/10/2023,Recycling centre A (medium / large van),15,15
27/10/2023,Recycling centre A (pedestrian / bicycle),1,48
28/10/2023,Recycling centre A (car / small van),215,400
28/10/2023,Recycling centre A (medium / large van),15,15
28/10/2023,Recycling centre A (pedestrian / bicycle),3,48
29/10/2023,Recycling centre A (car / small van),216,400
29/10/2023,Recycling centre A (medium / large van),15,15
29/10/2023,Recycling centre A (pedestrian / bicycle),1,48
30/10/2023,Recycling centre A (car / small van),97,400
30/10/2023,Recycling centre A (medium / large van),15,15
30/10/2023,Recycling centre A (pedestrian / bicycle),1,48
02/11/2023,Recycling centre A (car / small van),140,400
02/11/2023,Recycling centre A (medium / large van),9,15
02/11/2023,Recycling centre A (pedestrian / bicycle),1,48
03/11/2023,Recycling centre A (car / small van),113,400
03/11/2023,Recycling centre A (medium / large van),7,15
03/11/2023,Recycling centre A (pedestrian / bicycle),0,48
04/11/2023,Recycling centre A (car / small van),192,400
04/11/2023,Recycling centre A (medium / large van),13,15
04/11/2023,Recycling centre A (pedestrian / bicycle),1,48
05/11/2023,Recycling centre A (car / small van),253,400
05/11/2023,Recycling centre A (medium / large van),15,15
